miRNA	min	max	mean	median	sd
has-miR-548o	0	10	0.51	0	1.14135275147532
has-miR-548x	0	247	3.56	0	17.3884954797158
hsa-let-7a-2-3p	0	27	1.06	0	2.92223845344749
hsa-let-7a-3p	0	4347	102.55	22	429.343251370521
hsa-let-7a-5p	0	274	17.05	7	30.9964180832943
hsa-let-7b-3p	0	15	0.55	0	1.51099762008513
hsa-let-7b-5p	0	2707	66.94	13	267.416689885472
hsa-let-7c-3p	0	148	5.82	1	18.0363360985785
hsa-let-7c-5p	0	152	8.67	3	18.8827154019258
hsa-let-7d-3p	0	173	4.51	1	12.8874839615519
hsa-let-7d-5p	0	435	15.36	5	51.166708325302
hsa-let-7e-3p	0	2	0.13	0	0.409349444349405
hsa-let-7e-5p	0	125	5.9	2	11.9965385837012
hsa-let-7f-1-3p	0	6	0.17	0	0.673171364699431
hsa-let-7f-2-3p	0	14	0.82	0	1.82939266414001
hsa-let-7f-5p	0	23	2.54	1	4.06516950179069
hsa-let-7g-3p	0	264	7.18	0	26.6498516370106
hsa-let-7g-5p	0	2973	65.44	8	308.029606641004
hsa-let-7i-3p	0	4	0.39	0	0.753365494202885
hsa-let-7i-5p	0	3594	70.07	10	350.008749282808
hsa-miR-1-2-5p:Novel	0	734	12.05	4	49.9651336181062
hsa-miR-1-3p	0	33	2.8	1	4.8117668780171
hsa-miR-1-5p	0	715	17.09	7	52.167498913347
hsa-miR-100-3p	0	13	0.4	0	1.12586605212289
hsa-miR-100-5p	0	364	9.14	1	34.084176045226
hsa-miR-101-2-5p	0	86	1.83	1	6.23341665562352
hsa-miR-101-3p	0	110	4.63	2	9.44140619582516
hsa-miR-101-5p	0	301	5.58	2	22.6864514126208
hsa-miR-10226	0	37	3.95	2	6.42076396205663
hsa-miR-10226-3p:Novel	0	287	14.65	6	27.7021676631386
hsa-miR-10392-3p	0	73	2.04	1	5.97392712032976
hsa-miR-10392-5p	0	1647	169.07	90	226.47802760601
hsa-miR-10393-3p	0	5	0.25	0	0.628223520784987
hsa-miR-10393-5p	0	2	0.12	0	0.382095202949751
hsa-miR-10394-3p	0	135	4.06	1	11.7154250438205
hsa-miR-10394-5p	0	29	0.91	0	2.53448905090336
hsa-miR-10395-3p	0	80	1.29	0	5.51711049496965
hsa-miR-10395-5p	0	44	3.72	2	5.9369186543095
hsa-miR-10396a-3p	0	11	1.54	1	2.12118080825545
hsa-miR-10396a-5p	0	88	6.84	3	12.1835464542574
hsa-miR-10396b-3p	0	13	1.73	1	2.4313879124281
hsa-miR-10396b-5p	0	86	5.21	2	11.1516332471407
hsa-miR-10397-3p	0	204	22.67	15	27.3541235660962
hsa-miR-10397-5p	0	94	3.98	1	9.10426466251604
hsa-miR-10398-3p	0	28	2.16	1	3.86023296572269
hsa-miR-10398-5p	0	18	0.99	0	2.0667329847205
hsa-miR-10399-3p	0	9	0.46	0	1.12942599504756
hsa-miR-10399-5p	0	64	0.83	0	4.32438559668441
hsa-miR-103a-1-5p	0	11	0.72	0	1.69850938836701
hsa-miR-103a-2-5p	0	4	0.35	0	0.684940224288229
hsa-miR-103a-3p	0	38	2.45	1	4.10092630591231
hsa-miR-103b-3p:Novel	0	205	4.4	1	17.7705778306809
hsa-miR-103b-5p	0	5	0.29	0	0.782773876379446
hsa-miR-10400-3p	0	3802	19.42	1	248.944258907922
hsa-miR-10400-5p	0	1854	102.29	41	233.937433924057
hsa-miR-10401-3p	0	35	1.17	0	2.74527187822323
hsa-miR-10401-5p	0	1972	124.65	38	243.180675892883
hsa-miR-105-3p	0	353	10.2	4	28.5034419664829
hsa-miR-105-5p	0	82	4.21	2	7.35260673572787
hsa-miR-10522-3p:Novel	0	237	10.82	5	21.3026007607341
hsa-miR-10522-5p	0	7	0.8	0	1.35652709299625
hsa-miR-10523-3p:Novel	0	419	21.67	10	38.7775424038113
hsa-miR-10523-5p	0	48	2.98	1	6.50196632409159
hsa-miR-10524-3p:Novel	0	205	4.79	1	19.5515752943983
hsa-miR-10524-5p	0	203	3.45	0	18.3957661011556
hsa-miR-10525-3p	0	6	0.66	0	1.10682559499484
hsa-miR-10525-5p:Novel	0	5	0.56	0	0.990184176439253
hsa-miR-10526-3p	0	126	5.91	3	11.0402716473133
hsa-miR-10526-5p:Novel	0	125	5.6	3	10.8631534421779
hsa-miR-10527-3p:Novel	0	264	14.97	5	30.0169381417107
hsa-miR-10527-5p	0	262	13.7	4	29.2662690392519
hsa-miR-106a-3p	0	56	0.84	0	4.38999865658574
hsa-miR-106a-5p	0	39	1.39	0	3.58123655890106
hsa-miR-106b-3p	0	132	2.11	0	9.43971313681577
hsa-miR-106b-5p	0	3559	50.44	4	245.568528847886
hsa-miR-107	0	216	12.11	4	25.5956890898682
hsa-miR-107-5p:Novel	0	46	1.6	0	4.67931979488315
hsa-miR-10a-3p	0	39	2.35	1	4.51106954158959
hsa-miR-10a-5p	0	446	16.5	5	43.902627804424
hsa-miR-10b-3p	0	68	4.12	1	8.59465314889094
hsa-miR-10b-5p	0	338	16.44	4	40.0915626410069
hsa-miR-11181-3p	0	18	1.85	1	2.6725283671678
hsa-miR-11181-5p	0	3	0.18	0	0.504566977553967
hsa-miR-11399	0	199	6.12	3	14.7550970967984
hsa-miR-11399-3p:Novel	0	3609	282.96	144	435.090322828255
hsa-miR-11400	0	168	3.59	1	12.3089619635611
hsa-miR-11400-3p:Novel	0	164	9.04	2	21.5118904931302
hsa-miR-11401	0	28	1.89	1	3.11719203644836
hsa-miR-11401-3p:Novel	0	234	7.85	3	18.7849718257443
hsa-miR-1178-3p	0	6	0.38	0	0.858537981018467
hsa-miR-1178-5p	0	46	1.63	0	4.28723924045172
hsa-miR-1179	0	95	2.47	1	7.00984793224153
hsa-miR-1179-3p:Novel	0	115	9.73	4	15.5216064848442
hsa-miR-1180-3p	0	125	5.42	1	12.993853922196
hsa-miR-1180-5p	0	39	1.92	0	5.49396590708297
hsa-miR-1181	0	174	10.28	4	19.6533870820666
hsa-miR-1181-3p:Novel	0	1361	123.73	72	155.817802286034
hsa-miR-1182	0	183	11.24	6	19.826186224391
hsa-miR-1182-5p:Novel	0	194	9.59	4	18.8261403572749
hsa-miR-1183	0	122	5.35	2	11.592365427914
hsa-miR-1183-5p:Novel	0	141	10.85	5	18.2401412467366
hsa-miR-1184	0	1285	42.14	16	104.086302184779
hsa-miR-1184-5p:Novel	0	141	5.57	2	12.7419821891273
hsa-miR-1185-3p	0	23	0.98	0	2.37437045238067
hsa-miR-1185-5p	0	24	1.06	0	2.33891258100122
hsa-miR-1193	0	100	6.25	3	12.2513299921634
hsa-miR-1193-3p:Novel	0	500	25.26	10	52.4918938469445
hsa-miR-1197	0	210	6.62	1	19.4722397773756
hsa-miR-1197-5p:Novel	0	168	3.55	1	12.8314297628428
hsa-miR-1199-3p	0	68	5.69	3	9.35924049088534
hsa-miR-1199-5p	0	136	4.92	2	11.0690331174051
hsa-miR-1200	0	180	6.71	3	16.143448268781
hsa-miR-1200-3p:Novel	0	390	10.63	4	30.1415135752958
hsa-miR-1202	0	540	44.49	20	75.8521197160214
hsa-miR-1202-3p:Novel	0	2368	44.67	12	189.480045733691
hsa-miR-1203	0	4347	277.93	66	589.909292266166
hsa-miR-1203-3p:Novel	0	44	2.32	1	4.19179095852694
hsa-miR-1204	0	1257	29.84	4	114.028539277324
