ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
has-miR-548o	0.482823240473649	0.870242474571286	0.924451970225729	0.941360397943436	0.346520200827319	NA	16__vs_never	NA	0.244	0.358	0.526	2.91	0	0	0	0
has-miR-548x	1.71019385279228	-0.988221509869949	0.862923476859684	-1.1452017894637	0.252125577270769	0.593417503358338	16__vs_never	FALSE	2.377	1.065	0.887	0.705	0	0	0	0
hsa-let-7a-2-3p	0.582280496450522	0.303484326088941	0.750025536184374	0.404631991109084	0.685748039524424	NA	16__vs_never	NA	0.643	0.524	0.522	0.373	0	0	0	0
hsa-let-7a-3p	545.835883653848	4.47263802254854	0.542062785377327	8.25114385861255	1.56885556120033e-16	7.80034985028804e-14	16__vs_never	TRUE	138.076	102.619	193.388	6783.166	19.388	12.133	15.299	39.092
hsa-let-7a-5p	14.4832834314234	1.09503670053536	0.454890628986355	2.40725271253764	0.0160730433305279	0.127660018273778	16__vs_never	FALSE	13.692	8.13	15.297	48.239	6.883	4.146	8.163	6.801
hsa-let-7b-3p	0.480698235865222	0.200698147752227	1.16922687077309	0.171650303947878	0.863712457496091	NA	16__vs_never	NA	0.473	0.319	0.404	1.414	0	0	0	0
hsa-let-7b-5p	325.576365342963	4.07553427915621	0.582000680944702	7.0026280253501	2.5120515167566e-12	5.67723642786993e-10	16__vs_never	TRUE	73.946	102.488	133.369	3874.255	13.365	8.247	11.853	19.499
hsa-let-7c-3p	4.15360253394004	1.37311063846434	0.603829148714066	2.27400522380968	0.0229656724440231	0.166937607297782	16__vs_never	FALSE	4.199	3.604	2.786	8.456	0	0.806	0.198	0.87
hsa-let-7c-5p	24.1345725633802	2.92877625855934	0.546341627439588	5.36070493527092	8.28978245557683e-08	6.64787070469806e-06	16__vs_never	TRUE	7.838	4.893	14.821	270.667	2.893	2.917	2.522	4.452
hsa-let-7d-3p	4.98802947660127	-0.755738192549919	0.688289258764451	-1.09799504049583	0.272206654910189	0.613523799444265	16__vs_never	FALSE	4.046	2.918	4.645	22.848	1.466	1.024	2.041	0
hsa-let-7d-5p	62.6685910720595	4.64308982055308	0.554398459671487	8.37500490766943	5.52215705674749e-17	4.57602748102476e-14	16__vs_never	TRUE	14.557	21.987	22.964	737.136	3.341	2.782	4.361	6.277
hsa-let-7e-3p	0.0792749011251618	-0.259309342249052	2.48588671542923	-0.104312614343843	0.916921267727089	NA	16__vs_never	NA	0.115	0.061	0.003	0.012	0	0	0	0
hsa-let-7e-5p	7.09148982818418	0.928874594494648	0.552196669253188	1.68214450795383	0.0925408215638143	0.371058842592971	16__vs_never	FALSE	4.369	5.348	3.471	44.569	2.044	2.372	2.617	1.745
hsa-let-7f-1-3p	0.126336688110519	0.1666151732683	2.3761582650909	0.0701195605175426	0.944098497979252	NA	16__vs_never	NA	0.144	0.063	0.173	0.178	0	0	0	0
hsa-let-7f-2-3p	0.545050262627577	0.0063734316736167	0.710241980120418	0.00897360597093418	0.99284019443247	NA	16__vs_never	NA	0.44	0.584	0.346	1.523	0	0	0	0
hsa-let-7f-5p	1.98393839625423	-0.263215863802625	0.585279034367084	-0.449727135856259	0.652907202415048	0.854830995359502	16__vs_never	FALSE	1.965	1.895	1.741	2.668	0.666	0.794	1.109	1.554
hsa-let-7g-3p	3.1637586197932	0.763239354006712	0.61376447418922	1.24353784896877	0.213669702622889	0.560319494430909	16__vs_never	FALSE	2.835	3.74	4.071	0.477	0	0	0.578	0
hsa-let-7g-5p	363.341853496098	5.31033677358903	0.639798171183828	8.30001868208412	1.04095024535739e-16	6.46950577489617e-14	16__vs_never	TRUE	77.191	114.184	134.135	4399.409	8.124	4.867	4.896	9.497
hsa-let-7i-3p	0.31660162036802	0.837672442938048	0.897352045296278	0.933493657621825	0.350565143608238	NA	16__vs_never	NA	0.242	0.225	0.436	1.088	0	0	0	0
hsa-let-7i-5p	396.674351708047	5.45528091731828	0.609438827675412	8.95131827771199	NA	NA	16__vs_never	NA	64.852	135.134	137.293	4932.715	7.641	6.377	9.592	9.085
hsa-miR-1-2-5p:Novel	8.58091814941217	1.24668729151376	0.481902233425112	2.58701289399086	0.00968119693470467	0.0925671368449069	16__vs_never	FALSE	7.564	8.645	7.498	17.278	3.441	4.186	3.33	3.682
hsa-miR-1-3p	1.81295966087876	-0.614190589940149	0.518643454045529	-1.18422508786977	0.236323973606377	0.583417476053082	16__vs_never	FALSE	1.782	1.759	1.9	1.787	1.088	1.316	1.02	0.468
hsa-miR-1-5p	11.3434619956984	0.339237311975118	0.443995909810242	0.764055038525251	0.444834444419061	0.738147529617266	16__vs_never	FALSE	11.225	12.014	8.66	12.239	6.475	6.693	4.639	5.732
hsa-miR-100-3p	0.237372480447786	0.513279166634242	1.10525303487487	0.464399689879479	0.642361412239096	NA	16__vs_never	NA	0.194	0.28	0.307	0.191	0	0	0	0
hsa-miR-100-5p	8.07805130086412	1.38791833230494	0.910192457911503	1.52486248401751	0.127293400943972	0.432805405930644	16__vs_never	FALSE	4.671	7.302	1.686	51.906	0.419	0.612	0.37	0.319
hsa-miR-101-2-5p	1.17779876591377	0.633739244286895	0.591445546159661	1.07150903139241	0.283940612035388	0.623072115587985	16__vs_never	FALSE	1.353	0.878	0.7	1.964	0.519	0	0.139	0.768
hsa-miR-101-3p	3.01246083249487	0.764454071925885	0.406342278625713	1.88130576643744	0.0599303370618809	0.291559330598505	16__vs_never	FALSE	3.074	2.632	2.73	4.385	2.085	1.858	1.792	2.717
hsa-miR-101-5p	15.7321033637468	3.67407796363983	0.596167484691751	6.16282849699446	7.14568878971173e-10	9.3495696480123e-08	16__vs_never	TRUE	5.836	14.506	6.029	121.664	1.38	1.322	1.358	2.255
hsa-miR-10226	2.52905127272241	-0.971498315897276	0.575209301933299	-1.68894750594616	0.0912294902082774	0.369726700877429	16__vs_never	FALSE	2.336	2.725	2.894	1.885	1.333	1.455	1.85	0
hsa-miR-10226-3p:Novel	10.5521557801129	0.825207833410304	0.462193573372985	1.78541607012863	0.0741938539269155	0.32959871852082	16__vs_never	FALSE	8.141	11.417	12.229	20.733	4.766	6.206	7.565	7.455
hsa-miR-10392-3p	1.29431974221773	-1.05830640814392	0.690769313231833	-1.53206922755807	0.125505352458843	0.42957936876319	16__vs_never	FALSE	1.709	1.025	0.647	0.253	0.526	0.35	0	0
hsa-miR-10392-5p	133.973309876585	0.341556915546079	0.338912415088174	1.00780290228441	0.313549092331727	0.65077827488107	16__vs_never	FALSE	106.145	135.187	126.059	349.369	78.409	92.657	70.153	84.063
hsa-miR-10393-3p	0.291932199581347	0.433252952603926	1.33245344396702	0.325154289304122	0.745064302356492	NA	16__vs_never	NA	0.378	0.107	0.12	0.787	0	0	0	0
hsa-miR-10393-5p	0.127057997458076	0.132598207301188	3.34894020357783	0.0395940802883033	0.968416746985569	NA	16__vs_never	NA	0.209	0.01	0.093	0.07	0	0	0	0
hsa-miR-10394-3p	2.39452150517589	0.330436247631976	0.647900315913791	0.510010937663972	0.610043799066691	0.836161735394468	16__vs_never	FALSE	2.582	2.103	1.712	3.214	0.794	0.837	0.504	1.336
hsa-miR-10394-5p	0.692080497533452	0.00436305703952527	0.946587226999032	0.00460924985577661	0.996322363725208	NA	16__vs_never	NA	0.77	0.734	0.45	0.195	0	0	0	0
hsa-miR-10395-3p	1.20695765698872	0.241294299205246	0.843801677354566	0.285960914372364	0.774908057832249	0.90800438281987	16__vs_never	FALSE	0.914	0.645	1.014	6.6	0	0	0	0
hsa-miR-10395-5p	2.60248748651653	-0.558229507801896	0.515307929422458	-1.08329306794782	0.278678361213979	0.619302169609862	16__vs_never	FALSE	2.957	2.092	3.07	0.677	1.721	1.396	1.261	0
hsa-miR-10396a-3p	1.14573789415552	-0.278924249199757	0.547992596377263	-0.508992732828333	0.610757317981153	0.836161735394468	16__vs_never	FALSE	1.077	1.024	1.459	1.456	0.453	0.283	1.172	0.588
hsa-miR-10396a-5p	4.63502896442632	-0.319795144409341	0.518828505088424	-0.616379287708641	0.537644220132588	0.795391823749332	16__vs_never	FALSE	4.619	3.885	5.924	4.907	2.156	2.218	2.522	2.841
hsa-miR-10396b-3p	1.24721567948297	-0.653793329559895	0.556173798933357	-1.17551982997717	0.239786808456111	0.587300498346692	16__vs_never	FALSE	1.287	1.224	0.866	1.562	0.656	0.775	0.495	0
hsa-miR-10396b-5p	3.5860763310791	-0.23850381543721	0.61306328752469	-0.389036206033793	0.697249363398071	0.869288825179341	16__vs_never	FALSE	3.564	2.998	4.683	3.709	1.276	1.26	1.582	1.611
hsa-miR-10397-3p	21.797033845255	0.92732201223694	0.378029247485548	2.45304303411706	0.0141653390998679	0.118969706088755	16__vs_never	FALSE	17.213	16.607	15.205	95.127	12.274	13.687	11.511	12.879
hsa-miR-10397-5p	2.74535921360742	-0.461514790472444	0.672679360792823	-0.686084362583238	0.492659911208478	0.777127245726064	16__vs_never	FALSE	2.62	2.876	2.797	2.459	0.873	0.544	1.47	0.904
hsa-miR-10398-3p	1.47330402684869	0.603784611197728	0.506666076834087	1.19168154096775	0.233386138632844	0.582360639508862	16__vs_never	FALSE	1.247	1.329	1.549	3.628	0.646	0.708	1.126	1.409
hsa-miR-10398-5p	0.573871090593872	-0.744651414607274	0.750223806216176	-0.992572360990506	0.320918399606793	NA	16__vs_never	NA	0.588	0.562	0.742	0.048	0	0	0	0
hsa-miR-10399-3p	0.352494408348962	0.256427081757725	0.998412052689356	0.256834922081524	0.79730621017752	NA	16__vs_never	NA	0.368	0.215	0.094	1.371	0	0	0	0
hsa-miR-10399-5p	0.761236387750002	0.276162531500693	0.968936199069855	0.285016218576414	0.775631716421262	NA	16__vs_never	NA	0.787	0.503	1.053	1.074	0	0	0	0
hsa-miR-103a-1-5p	0.681255127429812	-1.27413857244239	1.04711266671032	-1.21681134509174	0.223676002500159	NA	16__vs_never	NA	0.788	0.627	0.551	0.187	0	0	0	0
hsa-miR-103a-2-5p	0.291764188049771	-0.482590770665251	1.02623119828148	-0.470255407819793	0.638172552236055	NA	16__vs_never	NA	0.282	0.367	0.23	0.058	0	0	0	0
hsa-miR-103a-3p	1.79391790953467	-0.827267814786813	0.5333794642665	-1.55099299881083	0.120903361777644	0.422044998518819	16__vs_never	FALSE	1.808	1.763	1.8	1.446	0.907	1.037	1.485	0.706
hsa-miR-103b-3p:Novel	17.0447278777303	4.29377493624913	0.661299854224274	6.49293192614699	8.41817338795569e-11	1.30797369015361e-08	16__vs_never	TRUE	4.387	9.65	5.669	179.873	0.738	0.753	0.791	1.126
hsa-miR-103b-5p	0.234831325101207	0.0737710581806577	1.45318901317753	0.0507649435219378	0.959512825857913	NA	16__vs_never	NA	0.289	0.182	0.11	0.252	0	0	0	0
hsa-miR-10400-3p	4.04036998566383	2.15527276643915	0.561863325701408	3.83593779456702	0.000125086067931313	0.00320581407089942	16__vs_never	TRUE	2.001	2.941	2.19	29.533	0.984	1.165	1.224	1.679
hsa-miR-10400-5p	90.4504653690116	0.109712389339912	0.485136589898218	0.226147422446387	0.821086762046952	0.932112669309264	16__vs_never	FALSE	63.173	75.67	197.552	152.33	34.217	28.025	57.997	37.166
hsa-miR-10401-3p	1.01140850467106	-0.0216073139607911	0.659693698839492	-0.0327535551708344	0.973871115925632	NA	16__vs_never	NA	1.159	0.508	0.891	2.341	0	0	0.597	0.415
hsa-miR-10401-5p	80.2815601885611	0.0603082098730636	0.467052573324916	0.129125099223271	0.897258661952145	0.963855104556224	16__vs_never	FALSE	89.183	63.124	71.805	92.76	38.193	33.43	33.375	40.752
hsa-miR-105-3p	7.69570823715021	-1.0816424700842	0.601728917719058	-1.79755773444348	0.0722471212289666	0.325479166043505	16__vs_never	FALSE	9.716	5.384	6.886	2.428	2.754	2.522	2.988	1.772
hsa-miR-105-5p	3.60881053132329	0.0240792352927065	0.568205758986114	0.0423776684975397	0.966197630311184	0.990910606003962	16__vs_never	FALSE	4.211	2.703	2.462	4.747	1.914	1.598	1.261	1.087
hsa-miR-10522-3p:Novel	8.23044383849724	-0.603948598065261	0.501860248765275	-1.20341987545567	0.22881388038841	0.57866867410538	16__vs_never	FALSE	6.561	11.085	7.493	7.731	3.816	3.965	5.102	2.962
hsa-miR-10522-5p	0.769672704171292	0.630499508760178	0.647725042829472	0.973406101462363	0.330351507651067	NA	16__vs_never	NA	0.542	0.384	0.531	4.934	0	0	0	0.084
hsa-miR-10523-3p:Novel	14.376772139157	-0.304535298178572	0.439072429785725	-0.693587839999862	0.4879407217351	0.773610098363175	16__vs_never	FALSE	15.563	11.152	17.986	10.185	9.661	8.6	8.963	8.896
hsa-miR-10523-5p	2.07644314377219	0.889103343614988	0.672162105567565	1.32275136644938	0.185918075279097	0.524790877690218	16__vs_never	FALSE	2.13	1.842	2.046	2.457	0.656	0.734	0.594	1.801
hsa-miR-10524-3p:Novel	3.89626123696453	-1.61293034333138	0.867600874196838	-1.85906952298142	0.0630172845468599	0.304196057055327	16__vs_never	FALSE	5.299	2.21	2.848	1.994	0.666	0.309	0.872	0.43
hsa-miR-10524-5p	2.8996633040827	-1.29275575656419	1.11294832978345	-1.16155954590967	0.245414422504306	0.590915730271265	16__vs_never	FALSE	3.999	1.497	2.242	1.508	0	0	0.277	0
hsa-miR-10525-3p	0.543644452073964	0.217503825775911	0.683039672595881	0.318435128298319	0.75015489542473	NA	16__vs_never	NA	0.448	0.797	0.427	0.205	0	0	0	0
hsa-miR-10525-5p:Novel	0.406719624990348	0.023208585809765	0.749398505601864	0.0309696184823928	0.975293768984196	NA	16__vs_never	NA	0.428	0.441	0.311	0.179	0	0	0	0
hsa-miR-10526-3p	3.96643784910663	-0.0116189020962934	0.441021419373252	-0.0263454371735625	0.978981813850723	0.993366852748122	16__vs_never	FALSE	3.761	3.194	3.985	8.703	2.571	2.357	2.319	3.049
hsa-miR-10526-5p:Novel	3.70494445200889	-0.253485165554489	0.45881603819387	-0.552476688810473	0.580621801357046	0.820811471582386	16__vs_never	FALSE	3.568	3.034	3.625	7.617	2.297	1.779	2.015	2.14
hsa-miR-10527-3p:Novel	9.96653733845551	0.0202263127238276	0.472419171376598	0.0428143351271911	0.965849536689124	0.990910606003962	16__vs_never	FALSE	8.465	11.537	11.253	9.926	4.558	4.428	5.976	9.889
hsa-miR-10527-5p	9.16679978644794	0.116448294708969	0.515169350503335	0.226038863909888	0.821171193426373	0.932112669309264	16__vs_never	FALSE	7.569	10.838	10.471	9.551	3.935	3.551	5.858	8.223
hsa-miR-106a-3p	0.393283434285606	-0.0784504085874451	1.39351830660759	-0.0562966472815317	0.955105489682771	NA	16__vs_never	NA	0.367	0.436	0.486	0.125	0	0	0	0
hsa-miR-106a-5p	1.27471602721091	1.75299922969238	0.806806737264872	2.17276225981349	0.0297982151397936	0.192953932828195	16__vs_never	FALSE	0.842	1.138	0.946	6.013	0	0	0.297	0
hsa-miR-106b-3p	6.32162154613328	3.98111523257449	0.7803944179327	5.1014142862793	3.37124694741264e-07	2.148953823402e-05	16__vs_never	TRUE	1.58	5.954	3.497	52.4	0	0	0.58	0
hsa-miR-106b-5p	25.7810400312431	2.181525460635	0.566952744840341	3.84780827059818	0.000119179264420187	0.00308624636821442	16__vs_never	TRUE	23.721	24.93	29.93	33.375	3.076	3.321	6.694	5.449
hsa-miR-107	14.3695549661949	0.875090947028998	0.541451134165807	1.6161956117743	0.106052027259766	0.394141276350704	16__vs_never	FALSE	8.42	6.322	8.564	113.152	3.803	3.049	3.038	2.9
hsa-miR-107-5p:Novel	1.98061707389386	2.3804513654536	0.769070644877743	3.0952310835268	0.00196659613773464	0.031137103985121	16__vs_never	TRUE	1.025	1.485	2.493	10.978	0	0.107	0.289	0.393
hsa-miR-10a-3p	2.0126695129293	0.493824209663157	0.637664167063412	0.774426783203657	0.438678450187837	0.736464394338343	16__vs_never	FALSE	1.465	1.543	1.561	9.449	0.371	0.609	0.597	1.171
hsa-miR-10a-5p	61.4445350523603	2.67765073434653	0.582457869085906	4.59715779709314	4.28293252004855e-06	0.000183575349048978	16__vs_never	TRUE	26.092	13.066	33.231	643.594	6.109	3.982	5.377	4.49
hsa-miR-10b-3p	2.41289663060159	0.126931133845249	0.561863578229746	0.225910948428388	0.821270682324631	0.932112669309264	16__vs_never	FALSE	2.327	2.178	2.938	2.729	0.894	0.775	1.156	0.873
hsa-miR-10b-5p	38.7974267922034	3.50545970723039	0.626144037235894	5.59848772609127	2.1622970809252e-08	1.85361053213105e-06	16__vs_never	TRUE	19.829	11.347	23.633	358.064	3.75	4.116	5.063	2.665
hsa-miR-11181-3p	1.40986398685739	0.354908224489742	0.569538041864368	0.623151042427225	0.533185270257298	0.79389600261014	16__vs_never	FALSE	1.196	1.498	1.878	1.509	0.497	0.832	1.02	0.098
hsa-miR-11181-5p	0.163992556935379	-0.130385066810784	1.8389419793704	-0.0709022189245057	0.943475577375962	NA	16__vs_never	NA	0.182	0.119	0.263	0	0	0	0	0
hsa-miR-11399	4.35165894811412	0.861415998799583	0.503481604324785	1.71091851499683	0.0870961561893858	0.358732513334792	16__vs_never	FALSE	4.897	3.689	2.944	5.14	2.335	2.188	1.616	2.951
hsa-miR-11399-3p:Novel	185.897032951808	-0.628563874591512	0.389495287266246	-1.61379070592412	0.106572831179678	0.394843604042743	16__vs_never	FALSE	175.363	196.583	216.787	118.699	134.576	112.781	110.317	70.86
hsa-miR-11400	2.34136208902148	0.0535469148908243	0.642246683689294	0.0833743735089946	0.933553864529903	0.978365602896449	16__vs_never	FALSE	1.633	1.815	6.719	1.361	0.755	0.641	0.808	0.942
hsa-miR-11400-3p:Novel	5.26209994583544	-1.16102771808774	0.568935996526372	-2.04070005268848	0.0412806501311873	0.237006226850189	16__vs_never	FALSE	6.232	3.559	6.158	2.73	2.755	1.824	3.395	1.437
hsa-miR-11401	1.62811030866389	0.684247063767627	0.555865749366584	1.23095741111471	0.218338793383302	0.565166643433059	16__vs_never	FALSE	1.406	1.135	1.794	5.286	0.865	0.33	1.126	0.836
hsa-miR-11401-3p:Novel	4.39984684204864	0.603624378682869	0.448172182644352	1.34685819883176	0.17802590651249	0.513972008356248	16__vs_never	FALSE	4.406	3.839	5.352	4.261	1.967	2.041	2.519	3.797
hsa-miR-1178-3p	0.229364853290639	-0.835173716486944	1.06666202110349	-0.782978769247762	0.433639579521513	NA	16__vs_never	NA	0.276	0.192	0.216	0.007	0	0	0	0
hsa-miR-1178-5p	0.95244355869909	0.448790386869914	0.789456687065054	0.568480062583764	0.569709039854767	NA	16__vs_never	NA	1.022	0.729	1.286	0.599	0	0	0	0
hsa-miR-1179	1.33603957716524	-0.828419644364573	0.641947773402054	-1.29047825802759	0.196884655982345	0.539047637414218	16__vs_never	FALSE	1.317	1.359	1.465	0.836	0.265	0.607	0.735	0.169
hsa-miR-1179-3p:Novel	5.9553819464454	-0.252603959212251	0.396536209218111	-0.637026211831538	0.524107770112679	0.79389600261014	16__vs_never	FALSE	6.21	5.739	5.432	4.753	3.91	4.21	3.839	3.54
hsa-miR-1180-3p	3.80774662293398	0.663415421351089	0.594090233748178	1.11669134361212	0.264126320336344	0.60517791000567	16__vs_never	FALSE	3.464	3.327	2.739	10.537	1.479	1.226	1.47	0.486
hsa-miR-1180-5p	1.19474473890228	-1.08501033379378	0.784459328044329	-1.38313140656856	0.166624577259429	0.494245693650681	16__vs_never	FALSE	1.207	1.533	0.571	0.448	0	0	0	0
